Variable,Description,Data Source,Response Level,N (%)
provider_physical.activity,"Last time you visited a healthcare provider, did they: - Ask you about physical activity",Canadian Social Connection Survey,Yes,734 (61.5)
provider_mental_health,"Last time you visited a healthcare provider, did they: - Ask you about your mental health",Canadian Social Connection Survey,No,413 (34.6)
provider_mental_health,"Last time you visited a healthcare provider, did they: - Ask you about your mental health",Canadian Social Connection Survey,Unsure,49 (4.1)
provider_mental_health,"Last time you visited a healthcare provider, did they: - Ask you about your mental health",Canadian Social Connection Survey,Yes,733 (61.3)
provider_social_connection,"Last  time you visited a healthcare provider, did they: - Ask about social connection or your relationships",Canadian Social Connection Survey,No,604 (50.5)
provider_social_connection,"Last  time you visited a healthcare provider, did they: - Ask about social connection or your relationships",Canadian Social Connection Survey,Unsure,55 (4.6)
provider_social_connection,"Last  time you visited a healthcare provider, did they: - Ask about social connection or your relationships",Canadian Social Connection Survey,Yes,538 (44.9)
provider_sexual_history,"Last time you visited a healthcare provider, did they: - Ask about your sexual history",Canadian Social Connection Survey,No,592 (49.7)
provider_sexual_history,"Last time you visited a healthcare provider, did they: - Ask about your sexual history",Canadian Social Connection Survey,Unsure,56 (4.7)
provider_sexual_history,"Last time you visited a healthcare provider, did they: - Ask about your sexual history",Canadian Social Connection Survey,Yes,544 (45.6)
provider_substance_use_advice,"Last time you visited a healthcare provider, did they: - Give you advice about your substance use (e.g., smoking, alcohol consumption)",Canadian Social Connection Survey,No,529 (44.2)
provider_substance_use_advice,"Last time you visited a healthcare provider, did they: - Give you advice about your substance use (e.g., smoking, alcohol consumption)",Canadian Social Connection Survey,Unsure,55 (4.6)
provider_substance_use_advice,"Last time you visited a healthcare provider, did they: - Give you advice about your substance use (e.g., smoking, alcohol consumption)",Canadian Social Connection Survey,Yes,613 (51.2)
provider_diet_advice,"Last time you visited a healthcare provider, did they: - Give you advice about nutrition or diet",Canadian Social Connection Survey,No,484 (40.8)
provider_diet_advice,"Last time you visited a healthcare provider, did they: - Give you advice about nutrition or diet",Canadian Social Connection Survey,Unsure,54 (4.6)
provider_diet_advice,"Last time you visited a healthcare provider, did they: - Give you advice about nutrition or diet",Canadian Social Connection Survey,Yes,647 (54.6)
provider_mental_health_advice,"Last time you visited a healthcare provider, did they: - Give you advice about mental health",Canadian Social Connection Survey,No,498 (41.5)
provider_mental_health_advice,"Last time you visited a healthcare provider, did they: - Give you advice about mental health",Canadian Social Connection Survey,Unsure,47 (3.9)
provider_mental_health_advice,"Last time you visited a healthcare provider, did they: - Give you advice about mental health",Canadian Social Connection Survey,Yes,656 (54.6)
provider_physical_activity_advice,"Last time you visited a healthcare provider, did they: - Give you advice about physical activity",Canadian Social Connection Survey,No,480 (40.0)
provider_physical_activity_advice,"Last time you visited a healthcare provider, did they: - Give you advice about physical activity",Canadian Social Connection Survey,Unsure,52 (4.3)
provider_physical_activity_advice,"Last time you visited a healthcare provider, did they: - Give you advice about physical activity",Canadian Social Connection Survey,Yes,667 (55.6)
provider_social_connection_advice,"Last time you visited a healthcare provider, did they: - Give you advice about social connection or relationships",Canadian Social Connection Survey,No,635 (52.9)
provider_social_connection_advice,"Last time you visited a healthcare provider, did they: - Give you advice about social connection or relationships",Canadian Social Connection Survey,Unsure,57 (4.8)
provider_social_connection_advice,"Last time you visited a healthcare provider, did they: - Give you advice about social connection or relationships",Canadian Social Connection Survey,Yes,508 (42.3)
provider_sex_advice,"Last time you visited a healthcare provider, did they: - Give you advice about safe sex or reproductive health",Canadian Social Connection Survey,No,612 (51.0)
provider_sex_advice,"Last time you visited a healthcare provider, did they: - Give you advice about safe sex or reproductive health",Canadian Social Connection Survey,Unsure,61 (5.1)
provider_sex_advice,"Last time you visited a healthcare provider, did they: - Give you advice about safe sex or reproductive health",Canadian Social Connection Survey,Yes,526 (43.9)
drugs_tobacco,"In the PAST SIX MONTHS, how often did you use the following substances? - Cigarettes or other tobacco products",Canadian Social Connection Survey,A few times a month,154 (13.0)
drugs_tobacco,"In the PAST SIX MONTHS, how often did you use the following substances? - Cigarettes or other tobacco products",Canadian Social Connection Survey,A few times a week,66 (5.6)
drugs_tobacco,"In the PAST SIX MONTHS, how often did you use the following substances? - Cigarettes or other tobacco products",Canadian Social Connection Survey,Daily or almost daily,141 (11.9)
drugs_tobacco,"In the PAST SIX MONTHS, how often did you use the following substances? - Cigarettes or other tobacco products",Canadian Social Connection Survey,Less than monthly,96 (8.1)
drugs_tobacco,"In the PAST SIX MONTHS, how often did you use the following substances? - Cigarettes or other tobacco products",Canadian Social Connection Survey,Monthly,116 (9.8)
drugs_tobacco,"In the PAST SIX MONTHS, how often did you use the following substances? - Cigarettes or other tobacco products",Canadian Social Connection Survey,Not in the past six months,524 (44.2)
